tempo,x,y,referencia,ang_control,angulo
1541268305.3412855,224.6,14,160,0,113.86774915585083
1541268305.3664615,225,14,160,0,113.99889035437754
1541268305.3918834,225,14,160,0,113.99889035437754
1541268305.4209068,224,14,160,0,113.67053848472045
1541268305.449732,222,14,160,0,113.00887008282287
1541268305.4832644,219,13,160,0,111.86857918537252
1541268305.516494,215,13,160,0,110.51331906828396
1541268305.551038,210.6,13,160,0,108.9943690881087
1541268305.5807438,206.2,13,160,0,107.4471884232822
1541268305.6132593,202,12,160,0,105.843082117687
1541268305.6481757,198.4,12,160,0,104.54520274117435
1541268305.681946,195.4,12,160,0,103.45179930041267
1541268305.718952,192.6,12,160,0,102.42218814517817
1541268305.7543252,190,12,160,0,101.45875234587719
1541268305.7869809,187.4,12,160,0,100.48870441230893
1541268305.8171694,184.6,11,160,0,99.37500016446744
1541268305.8467722,181.8,11,160,0,98.32381386837697
1541268305.8784387,179.8,11,160,0,97.56945398328341
1541268305.9163,178.2,11,160,0,96.96404697374764
1541268305.9577143,177.4,11,160,0,96.66074782727307
1541268305.9874668,177.2,11,160,0,96.58486373911236
1541268306.0167344,177,11,160,0,96.50895644050256
1541268306.0432215,176.8,11,160,0,96.43302618737647
1541268306.0775146,176.8,11,160,0,96.43302618737647
1541268306.1118054,176.6,11,160,0,96.35707323614417
1541268306.1429,176.2,11,160,0,96.20510026735866
1541268306.174392,176,11,160,0,96.12908076496802
1541268306.204791,175.6,11,160,0,95.97697701553663
1541268306.236414,175.2,11,160,0,95.82478866695583
1541268306.2632968,175,11,160,0,95.74866341728776
1541268306.2770104,175,11,160,0,95.74866341728776
1541268306.2919352,175,11,160,0,95.74866341728776
1541268306.3056102,175,11,160,0,95.74866341728776
1541268306.3193645,175,11,160,0,95.74866341728776
1541268306.3350043,175,11,160,0,95.74866341728776
1541268306.3488164,175,11,160,0,95.74866341728776
1541268306.3647103,175,11,160,0,95.74866341728776
1541268306.3964257,174.8,11,160,0,95.67251779786721
1541268306.4324605,174.6,11,160,0,95.59635206960392
1541268306.4622874,174.4,11,160,0,95.5201664938298
1541268306.4920063,174,11,160,0,95.36773684715615
1541268306.5228322,173.6,11,160,0,95.21523095674688
1541268306.5517178,173.4,11,160,0,95.13895007780832
1541268306.5847685,173,11,160,0,94.9863337712355
1541268306.6147425,172.6,11,160,0,94.83364649590482
1541268306.6437109,172.4,11,160,0,94.75727690742498
1541268306.673703,172.2,11,160,0,94.68089037245421
1541268306.7037427,172,11,160,0,94.60448715698152
1541268306.734094,172,11,160,0,94.60448715698152
1541268306.7671285,172,11,160,0,94.60448715698152
1541268306.799612,171.8,11,160,0,94.52806752734936
1541268306.8296835,171.8,11,160,0,94.52806752734936
1541268306.8612206,171.6,11,160,0,94.45163175024824
1541268306.8922336,171.4,11,160,0,94.37518009271126
1541268306.92363,171.2,11,160,0,94.29871282210877
1541268306.95539,171.2,11,160,0,94.29871282210877
1541268306.9859831,171,10,160,0,94.19418278839086
1541268307.017303,171,10,160,0,94.19418278839086
1541268307.0485888,171,10,160,0,94.19418278839086
1541268307.0798569,170.8,10,160,0,94.11818970398878
1541268307.112374,170.6,10,160,0,94.04218210279306
1541268307.1421494,170.4,10,160,0,93.9661602482391
1541268307.1734872,170.4,10,160,0,93.9661602482391
1541268307.2041907,170.4,10,160,0,93.9661602482391
1541268307.2375164,170.6,10,160,0,94.04218210279306
1541268307.2685218,170.8,10,160,0,94.11818970398878
1541268307.2985609,171,10,160,0,94.19418278839086
1541268307.3293998,170.6,10,160,0,94.04218210279306
1541268307.3608282,169.4,10,160,0,93.5858464160012
1541268307.3917916,166.8,10,160,0,92.59563154092564
1541268307.4256945,162.8,10,160,0,91.06939702063312
1541268307.4554484,157.4,10,160,0,89.00697259699552
